Datetime,PM1.0,PM2.5,PM10.0
2023-07-28 08:00:00,16,22,23
2023-07-28 08:10:00,16,22,23
2023-07-28 08:20:00,16,22,23
2023-07-28 08:30:00,16,22,23
2023-07-28 08:40:00,16,22,23
2023-07-28 08:50:00,16,22,23
2023-07-28 09:00:00,13,19,20
2023-07-28 09:10:00,13,19,20
2023-07-28 09:20:00,13,19,20
2023-07-28 09:30:00,13,19,20
2023-07-28 09:40:00,13,19,20
2023-07-28 09:50:00,13,19,20
2023-07-28 10:00:00,14,20,20
2023-07-28 10:10:00,14,20,20
2023-07-28 10:20:00,14,20,20
2023-07-28 10:30:00,14,20,20
2023-07-28 10:40:00,14,20,20
2023-07-28 10:50:00,14,20,20
2023-07-28 11:00:00,13,19,21
2023-07-28 11:10:00,13,19,21
2023-07-28 11:20:00,13,19,21
2023-07-28 11:30:00,13,19,21
2023-07-28 11:40:00,13,19,21
2023-07-28 11:50:00,13,19,21
2023-07-28 12:00:00,14,21,21
2023-07-28 12:10:00,14,21,21
2023-07-28 12:20:00,14,21,21
2023-07-28 12:30:00,14,21,21
2023-07-28 12:40:00,14,21,21
2023-07-28 12:50:00,14,21,21
2023-07-28 13:00:00,13,19,20
2023-07-28 13:10:00,13,19,20
2023-07-28 13:20:00,13,19,20
2023-07-28 13:30:00,13,19,20
2023-07-28 13:40:00,13,19,20
2023-07-28 13:50:00,13,19,20
2023-07-28 14:00:00,9,13,13
2023-07-28 14:10:00,9,13,13
2023-07-28 14:20:00,9,13,13
2023-07-28 14:30:00,9,13,13
2023-07-28 14:40:00,9,13,13
2023-07-28 14:50:00,9,13,13
2023-07-28 15:00:00,9,13,14
2023-07-28 15:10:00,9,13,14
2023-07-28 15:20:00,9,13,14
2023-07-28 15:30:00,9,13,14
2023-07-28 15:40:00,9,13,14
2023-07-28 15:50:00,9,13,14
2023-07-28 16:00:00,11,16,16
2023-07-28 16:10:00,11,16,16
2023-07-28 16:20:00,11,16,16
2023-07-28 16:30:00,11,16,16
2023-07-28 16:40:00,11,16,16
2023-07-28 16:50:00,11,16,16
2023-07-28 17:00:00,10,13,13
2023-07-28 17:10:00,10,13,13
2023-07-28 17:20:00,10,13,13
2023-07-28 17:30:00,10,13,13
2023-07-28 17:40:00,10,13,13
2023-07-28 17:50:00,10,13,13
2023-07-28 18:00:00,11,15,16
2023-07-28 18:10:00,11,15,16
2023-07-28 18:20:00,11,15,16
2023-07-28 18:30:00,11,15,16
2023-07-28 18:40:00,11,15,16
2023-07-28 18:50:00,11,15,16
2023-07-28 19:00:00,8,10,10
2023-07-28 19:10:00,8,10,10
2023-07-28 19:20:00,8,10,10
2023-07-28 19:30:00,8,10,10
2023-07-28 19:40:00,8,10,10
2023-07-28 19:50:00,8,10,10
2023-07-28 20:00:00,8,11,11
2023-07-28 20:10:00,8,11,11
2023-07-28 20:20:00,8,11,11
2023-07-28 20:30:00,8,11,11
2023-07-28 20:40:00,8,11,11
2023-07-28 20:50:00,8,11,11
2023-07-28 21:00:00,8,10,10
2023-07-28 21:10:00,8,10,10
2023-07-28 21:20:00,8,10,10
2023-07-28 21:30:00,8,10,10
2023-07-28 21:40:00,8,10,10
2023-07-28 21:50:00,8,10,10
2023-07-28 22:00:00,7,10,10
2023-07-28 22:10:00,7,10,10
2023-07-28 22:20:00,7,10,10
2023-07-28 22:30:00,7,10,10
2023-07-28 22:40:00,7,10,10
2023-07-28 22:50:00,7,10,10
2023-07-28 23:00:00,8,12,12
2023-07-28 23:10:00,8,12,12
2023-07-28 23:20:00,8,12,12
2023-07-28 23:30:00,8,12,12
2023-07-28 23:40:00,8,12,12
2023-07-28 23:50:00,8,12,12
2023-07-29 00:00:00,8,12,12
2023-07-29 00:10:00,8,12,12
2023-07-29 00:20:00,8,12,12
2023-07-29 00:30:00,8,12,12
2023-07-29 00:40:00,8,12,12
2023-07-29 00:50:00,8,12,12
2023-07-29 01:00:00,8,11,12
2023-07-29 01:10:00,8,11,12
2023-07-29 01:20:00,8,11,12
2023-07-29 01:30:00,8,11,12
2023-07-29 01:40:00,8,11,12
2023-07-29 01:50:00,8,11,12
2023-07-29 02:00:00,8,12,12
2023-07-29 02:10:00,8,12,12
2023-07-29 02:20:00,8,12,12
2023-07-29 02:30:00,8,12,12
2023-07-29 02:40:00,8,12,12
2023-07-29 02:50:00,8,12,12
2023-07-29 03:00:00,8,12,12
2023-07-29 03:10:00,8,12,12
2023-07-29 03:20:00,8,12,12
2023-07-29 03:30:00,8,12,12
2023-07-29 03:40:00,8,12,12
2023-07-29 03:50:00,8,12,12
2023-07-29 04:00:00,11,12,12
2023-07-29 04:10:00,11,12,12
2023-07-29 04:20:00,11,12,12
2023-07-29 04:30:00,11,12,12
2023-07-29 04:40:00,11,12,12
2023-07-29 04:50:00,11,12,12
2023-07-29 05:00:00,8,11,12
2023-07-29 05:10:00,8,11,12
2023-07-29 05:20:00,8,11,12
2023-07-29 05:30:00,8,11,12
2023-07-29 05:40:00,8,11,12
2023-07-29 05:50:00,8,11,12
2023-07-29 06:00:00,11,16,17
2023-07-29 06:10:00,11,16,17
2023-07-29 06:20:00,11,16,17
2023-07-29 06:30:00,11,16,17
2023-07-29 06:40:00,11,16,17
2023-07-29 06:50:00,11,16,17
2023-07-29 07:00:00,11,16,17
2023-07-29 07:10:00,11,16,17
2023-07-29 07:20:00,11,16,17
2023-07-29 07:30:00,11,16,17
2023-07-29 07:40:00,11,16,17
2023-07-29 07:50:00,11,16,17
2023-07-29 08:00:00,12,17,18
2023-07-29 08:10:00,12,17,18
2023-07-29 08:20:00,12,17,18
2023-07-29 08:30:00,12,17,18
2023-07-29 08:40:00,12,17,18
2023-07-29 08:50:00,12,17,18
2023-07-29 09:00:00,9,14,14
2023-07-29 09:10:00,9,14,14
2023-07-29 09:20:00,9,14,14
2023-07-29 09:30:00,9,14,14
2023-07-29 09:40:00,9,14,14
2023-07-29 09:50:00,9,14,14
2023-07-29 10:00:00,10,15,15
2023-07-29 10:10:00,10,15,15
2023-07-29 10:20:00,10,15,15
2023-07-29 10:30:00,10,15,15
2023-07-29 10:40:00,10,15,15
2023-07-29 10:50:00,10,15,15
2023-07-29 11:00:00,10,15,15
2023-07-29 11:10:00,10,15,15
2023-07-29 11:20:00,10,15,15
2023-07-29 11:30:00,10,15,15
2023-07-29 11:40:00,10,15,15
2023-07-29 11:50:00,10,15,15
2023-07-29 12:00:00,10,13,14
2023-07-29 12:10:00,10,13,14
2023-07-29 12:20:00,10,13,14
2023-07-29 12:30:00,10,13,14
2023-07-29 12:40:00,10,13,14
2023-07-29 12:50:00,10,13,14
2023-07-29 13:00:00,14,20,21
2023-07-29 13:10:00,14,20,21
2023-07-29 13:20:00,14,20,21
2023-07-29 13:30:00,14,20,21
2023-07-29 13:40:00,14,20,21
2023-07-29 13:50:00,14,20,21
2023-07-29 14:00:00,12,17,18
2023-07-29 14:10:00,12,17,18
2023-07-29 14:20:00,12,17,18
2023-07-29 14:30:00,12,17,18
2023-07-29 14:40:00,12,17,18
2023-07-29 14:50:00,12,17,18
2023-07-29 15:00:00,10,15,17
2023-07-29 15:10:00,10,15,17
2023-07-29 15:20:00,10,15,17
2023-07-29 15:30:00,10,15,17
2023-07-29 15:40:00,10,15,17
2023-07-29 15:50:00,10,15,17
2023-07-29 16:00:00,9,13,14
2023-07-29 16:10:00,9,13,14
2023-07-29 16:20:00,9,13,14
2023-07-29 16:30:00,9,13,14
2023-07-29 16:40:00,9,13,14
2023-07-29 16:50:00,9,13,14
2023-07-29 17:00:00,9,12,12
2023-07-29 17:10:00,9,12,12
2023-07-29 17:20:00,9,12,12
2023-07-29 17:30:00,9,12,12
2023-07-29 17:40:00,9,12,12
2023-07-29 17:50:00,9,12,12
2023-07-29 18:00:00,8,12,12
2023-07-29 18:10:00,8,12,12
2023-07-29 18:20:00,8,12,12
2023-07-29 18:30:00,8,12,12
2023-07-29 18:40:00,8,12,12
2023-07-29 18:50:00,8,12,12
2023-07-29 19:00:00,13,19,20
2023-07-29 19:10:00,13,19,20
